name	gender	age_group	swim	T1	bike	T2	run	total	year	competition
Guðbjörg Rós Sigurðardóttir	F	35.0	0:38:58		3:39:35		1:57:10	6:15:43	2009	Ísland 
Birgir Skúlason	M	40.0	0:45:41		3:38:16		2:15:25	6:39:22	2009	Ísland 
Stefanie Gregersen	M	30.0	0:39:58		3:31:07		2:34:46	6:45:51	2009	Ísland 
Hildur Edda Grétarsdóttir	F	20.0	0:38:05		4:03:16		2:26:01	7:07:22	2009	Ísland 
Davíð Blöndal Þorgeirsson	M	20.0	0:56:15		3:50:29		2:24:14	7:10:58	2009	Ísland 
Halldor Johannson	M	35	00:44:49	00:06:47	03:20:27	00:02:58	02:32:21	06:47:22	2008	Ironman 70.3 Rhode Island 2008
Bjarki Gardarsson	M	30	00:43:36	00:06:24	02:58:09	00:07:29	03:16:22	07:12:00	2010	Ironman 70.3 Philippines 2010
Agust Kristinsson	M	35		00:00:00		00:00:00			2011	Ironman 70.3 Timberman 2011
Bjorn Olafsson	M	45	00:49:30	00:03:32	02:42:14	00:02:53	01:38:12	05:16:21	2011	Ironman 70.3 Miami 2011
Johann Thorarinsson	M	35	00:42:15	00:04:20	02:46:30	00:02:14	01:50:06	05:25:25	2011	Ironman 70.3 Miami 2011
Hakon Ottarsson	M	40	00:39:12	00:05:09	02:49:15	00:03:25	01:48:59	05:26:00	2011	Ironman 70.3 Miami 2011
Gudmundur Bjornsson	M	45	00:44:48	00:03:31	02:46:02	00:01:41	01:56:26	05:32:28	2011	Ironman 70.3 Miami 2011
Ottar Thorarinsson	M	30	00:41:43	00:03:39	02:53:40	00:01:54	01:56:47	05:37:43	2011	Ironman 70.3 Miami 2011
Gunnar Gylfason	M	45	00:42:26	00:05:02	02:47:17	00:03:23	02:06:16	05:44:24	2011	Ironman 70.3 Miami 2011
Skuli Mogensen	M	40	00:47:34	00:04:34	02:35:16	00:02:43	02:15:37	05:45:44	2011	Ironman 70.3 Miami 2011
Jorunn Jonsdottir	F	35	00:47:59	00:05:29	02:50:09	00:03:46	02:08:35	05:55:58	2011	Ironman 70.3 Miami 2011
Sigurdur Gylfason	M	40	00:43:13	00:04:49	03:02:20	00:04:01	02:13:57	06:08:20	2011	Ironman 70.3 Miami 2011
Bjarki Gardarsson	M	35		00:00:00		00:00:00			2012	Ironman 70.3 Philippines 2012
Brynjar Orn Sveinjonsson	M	30	00:41:45	00:05:01	03:10:31	00:05:17	02:11:10	06:13:44	2012	Ironman 70.3 Switzerland 2012
Sigurdur Martinsson	M	35		00:00:00		00:00:00			2013	Ironman 70.3 European Championship 2013
Andy Bruner	M	30	00:30:50	00:04:31	02:53:01	00:03:57	01:44:05	05:16:24	2013	Ironman 70.3 Augusta 2013
Jon Bjorn Ofeigsson	M	30	00:32:50	00:04:16	02:37:11	00:02:26	02:00:19	05:17:02	2013	Ironman 70.3 Haugesund 2013
Gudmundur Kristjansson	M	40	00:34:47	00:05:04	02:50:19	00:04:47	02:03:42	05:38:39	2013	Ironman 70.3 Haugesund 2013
Vidar Gunnarsson	M	30	00:47:48	00:04:21	03:00:29	00:04:27	01:49:47	05:46:52	2013	Ironman 70.3 Haugesund 2013
Oli Gunnarsson	M	35	00:46:27	00:04:45	02:48:17	00:04:44	02:31:00	06:15:13	2013	Ironman 70.3 Syracuse 2013
Sigurgeir Vilhjalmsson	M	45	00:47:50	00:07:22	03:16:06	00:04:03	02:50:33	07:05:54	2013	Ironman 70.3 Syracuse 2013
Brynjar Sveinjonsson	M	35	00:47:35	00:06:46	03:12:41	00:04:11	02:09:45	06:20:58	2013	Ironman 70.3 Luxembourg-Region Moselle 2013
Birgir Ragnarsson	M	40							2014	Ironman 70.3 Mallorca 2014
Sigurdur Martinsson	M	35							2014	Ironman 70.3 Mallorca 2014
