name	gender	age_group	swim	T1	bike	T2	run	total	year	competition
Katrin Palsdottir	F	35	00:42:10		02:56:02		02:43:30	06:30:06	2019	Ironman 70.3 Bintan 2019
Ingolfur Haraldsson	M	50	00:34:50		03:01:33		02:05:08	05:53:13	2019	Ironman 70.3 Oceanside 2019
Bjorn Reynald Ingolfsson	M	55	00:46:07		03:43:00		02:40:52	07:27:18	2019	Ironman 70.3 Oceanside 2019
Bjarnfridur Sveinbjornsdottir	F	40	00:39:38		03:27:48		01:53:55	06:13:45	2019	Ironman 70.3 Gdynia 2019
Asta Reynisdottir Parker	F	45	00:47:48		03:46:14		01:40:06	06:22:35	2019	Ironman 70.3 World Championship 2019
Guicharnaud Rannveig Anna	F	45	00:36:01		03:44:21		02:12:08	06:41:40	2019	Ironman 70.3 World Championship 2019
Jason Call	M	40	00:52:58	00:08:16	02:56:36	00:08:01	02:18:06	06:23:57	2019	Ironman 70.3 Arizona 2019
Sigridur Erlendsdottir	F	35	01:00:47	00:07:59	03:17:35	00:03:39	02:29:37	06:59:36	2019	Ironman 70.3 Arizona 2019
Unnur Palsdottir	F	45	00:50:42	00:08:34	03:02:53	00:03:55	03:20:57	07:27:01	2019	Ironman 70.3 Arizona 2019
Trausti Gudmundsson	M	40	00:44:42		03:27:27		02:11:38	06:43:46	2019	Ironman 70.3 Mallorca 2019
Margret Einarsdottir	F	45	00:44:17		03:49:37		02:14:49	07:09:37	2019	Ironman 70.3 Mallorca 2019
Sigurdur Amlin Magnusson	M	30	00:45:43		03:45:17		02:26:58	07:19:10	2019	Ironman 70.3 Mallorca 2019
Bogi Jonsson	M	60	00:51:09		04:18:28		02:43:25	08:10:40	2019	Ironman 70.3 Hawaii 2019
David Berg Einarsson	M	30	01:01:07		04:10:56		02:54:06	08:18:38	2019	Ironman 70.3 St Polten 2019
Hjorvar Hermannsson	M	30	01:43:26	00:17:20	07:30:23	00:08:21	05:12:23	14:51:53	2019	Ironman 70.3 Mar del Plata 2019
Grimur Sigurdsson	M	40							2020	Ironman 70.3 Tallinn 2020
Hlodver Johannsson	M	18							2020	Ironman 70.3 Les Sables d'Olonne-Vendée 2020
Hilmar Petursson	M	45							2020	Ironman 70.3 Cozumel 2020
Gudrun Stefansdottir	F	45							2020	Ironman 70.3 Cozumel 2020
Asta Reynisdottir Parker	F	45	00:35:31	00:04:58	02:44:55	00:02:49	01:48:33	05:16:47	2020	Ironman 70.3 Oman 2020
Svava Kristinsdottir	F	45							2021	Ironman 70.3 Jönköping 2021
Silvia Llorens Izaguirre	F	40							2021	Ironman 70.3 Jönköping 2021
Solveig Maria H. Aspelund	F	25							2021	Ironman 70.3 Jönköping 2021
Bjorn Ingiberg Jonsson	M	55							2021	Ironman 70.3 Jönköping 2021
Gunnar Buason	M	40							2021	Ironman 70.3 Jönköping 2021
Steinn Johannsson	M	50							2021	Ironman 70.3 Jönköping 2021
Dyrleif Sigurjonsdottir	F	25							2021	Ironman 70.3 Jönköping 2021
Daniel Jakobsson	M	45							2021	Ironman 70.3 Jönköping 2021
Ari Danielsson	M	45							2021	Ironman 70.3 Jönköping 2021
Jorunn Jonsdottir	F	45							2021	Ironman 70.3 Jönköping 2021
Petur Gudnason	M	30	00:11:20	00:04:53	02:31:39	00:01:53	01:29:14	04:18:59	2021	Ironman 70.3 Jönköping 2021
Gudrunhalla Danielsdottir	F	35							2021	Ironman 70.3 Sardegna 2021
Gudjon Gislason	M	40							2021	Ironman 70.3 Sardegna 2021
Unnur Árnadottir	F	45							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Kristin Vala Matthiasdottir	F	40							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Ragnheidur Stefansdottir	F	50							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Magnus Jonsson	M	45							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Thorhildur Olof Helgadottir	F	45							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Sunna Miriam Sigurdardottir	F	40							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Hermann Þorisson	M	45							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Jonas Mar Gunnarsson	M	50							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Inga Rut Jonsdottir	F	45							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Hinrik Rognvaldsson	M	30							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Stefan Audolfsson	M	45							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Gardar Thorvardsson	M	45							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Jon Ásgeir Haukdal Þorvaldsson	M	30							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Margret Águstsdottir	F	60							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Eva Katrin Sigurdardottir	F	35							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Sigrun Sveinbjornsdottir	F	45							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Olafur Ingolfsson	M	50							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Berglind Bjorg Hardardottir	F	40							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Ingibjorg Palmadottir	F	45							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Gisli Matthias Sigmarsson	M	50							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Hrafnhildur Georgsdottir	F	45							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Arna Torfadottir	F	40							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Gudni Steinarsson	M	35							2021	Ironman 70.3 Italy Emilia-Romagna 2021
Sigurdur Nikulasson	M	45	00:33:48	00:06:32	02:43:45	00:04:32	01:52:45	05:21:22	2021	Ironman 70.3 Italy Emilia-Romagna 2021
Birna Iris Jonsdottir	F	45	00:28:09	00:06:01	02:46:03	00:03:43	01:57:49	05:21:46	2021	Ironman 70.3 Italy Emilia-Romagna 2021
Ólafur Gunnthor Hoskuldsson	M	45	00:37:17	00:07:27	02:39:59	00:06:25	02:06:45	05:37:53	2021	Ironman 70.3 Italy Emilia-Romagna 2021
Erla Edvardsdottir	F	40	00:40:02	00:07:01	02:59:10	00:04:46	02:00:05	05:51:04	2021	Ironman 70.3 Italy Emilia-Romagna 2021
Ingibjorg Johannsdottir	F	35	00:39:05	00:07:29	03:01:17	00:04:49	02:05:10	05:57:49	2021	Ironman 70.3 Italy Emilia-Romagna 2021
Jens Ingvarsson	M	35	00:40:41	00:07:14	03:05:37	00:06:01	02:09:05	06:08:39	2021	Ironman 70.3 Italy Emilia-Romagna 2021
Jon Ingi Sveinbjornsson	M	35	00:37:52	00:08:09	02:43:19	00:05:42	02:35:56	06:10:59	2021	Ironman 70.3 Italy Emilia-Romagna 2021
Jon Axelsson	M	55	00:39:36	00:06:58	03:13:44	00:09:23	02:19:52	06:29:33	2021	Ironman 70.3 Italy Emilia-Romagna 2021
Kristin Magnusdottir	F	60	00:39:58	00:08:30	03:32:04	00:07:01	02:23:49	06:51:22	2021	Ironman 70.3 Italy Emilia-Romagna 2021
Haraldur Thordarson	M	40							2021	Ironman 70.3 Marbella 2021
Gudmundur Bjornsson	M	40							2021	Ironman 70.3 Marbella 2021
Finnbogi Sigurdsson	M	25							2021	Ironman 70.3 Finland 2021
Fannar Thor Heiduson	M	18	00:28:41	00:02:37					2021	Ironman 70.3 Turkey 2021
Fannar Thor Heiduson	M	18	00:26:19	00:03:04					2021	Ironman 70.3 Mallorca 2021
Einar Jonsson	M	50							2021	Ironman 70.3 Mallorca 2021
Finnbjorn Adalheidarson	M	50							2021	Ironman 70.3 Barcelona 2021
Helen Ólafsdottir	F	50	00:14:12	00:04:37	02:49:16	00:03:19	01:39:29	04:50:52	2021	Ironman 70.3 Barcelona 2021
Gudjon Gislason	M	40	00:12:43	00:05:19	02:37:37	00:04:33	02:06:29	05:06:40	2021	Ironman 70.3 Barcelona 2021
Ragnheidur Gisladottir	F	45	00:15:46	00:08:02	03:23:28	00:07:07	02:34:25	06:28:48	2021	Ironman 70.3 Barcelona 2021
Smari Bjornsson	M	45							2021	Ironman 70.3 Zell am See-Kaprun 2021
Snorri Einarsson	M	35							2021	Ironman 70.3 Zell am See-Kaprun 2021
Susanna Bjorg Ástvaldsdottir	F	40							2021	Ironman 70.3 Zell am See-Kaprun 2021
Nanny Arna Gudmundsdottir	F	50							2021	Ironman 70.3 Zell am See-Kaprun 2021
Svavar Gudmundsson	M	50							2021	Ironman 70.3 Zell am See-Kaprun 2021
Hildur Elisabet Petursdottir	F	50							2021	Ironman 70.3 Zell am See-Kaprun 2021
Jon Pall Hreinsson	M	45							2021	Ironman 70.3 Zell am See-Kaprun 2021
Arna Jonsdottir	F	45							2021	Ironman 70.3 Zell am See-Kaprun 2021
Turidur Katrin Vilmundardottir	F	45							2021	Ironman 70.3 Zell am See-Kaprun 2021
Elin Eiriksdottir	F	35	00:45:13	00:10:04	03:23:52	00:07:10	02:01:17	06:27:36	2021	Ironman 70.3 Zell am See-Kaprun 2021
Hlini Baldursson	M	45							2021	Ironman 70.3 Portugal - Cascais 2021
Bjarnfridur Sveinbjornsdottir	F	40	00:39:26	00:09:07	04:10:14	00:05:10	01:53:25	06:57:23	2021	Ironman 70.3 Portugal - Cascais 2021
Gestur Hreinsson	M	55	00:46:04	00:11:17	03:43:59	00:05:05	02:40:36	07:27:01	2021	Ironman 70.3 Portugal - Cascais 2021
Fannar Thor Heiduson	M	18	00:29:08	00:02:48	02:12:45	00:01:47	01:17:36	04:04:04	2021	Ironman 70.3 Warsaw 2021
Thorunn Margret Gunnarsdottir	F	50	00:30:12	00:04:51	02:42:58	00:02:50	01:38:28	04:59:20	2021	Ironman 70.3 Elsinore 2021
Helen Ólafsdottir	F	50	00:41:07	00:05:57	02:41:13	00:03:59	01:32:18	05:04:34	2021	Ironman 70.3 Elsinore 2021
Saedis Jonsdottir	F	25	00:36:51	00:04:52	02:55:01	00:03:31	01:41:11	05:21:25	2021	Ironman 70.3 Elsinore 2021
Kjartan Kristinsson	M	40	00:35:11	00:07:17	02:51:34	00:04:01	01:44:33	05:22:36	2021	Ironman 70.3 Elsinore 2021
Johann Ari Johannsson	M	35	00:37:19	00:07:47	02:49:18	00:03:59	02:01:02	05:39:24	2021	Ironman 70.3 Elsinore 2021
Ingi Poulsen	M	40	00:43:26	00:08:27	02:47:52	00:07:58	01:53:51	05:41:35	2021	Ironman 70.3 Elsinore 2021
Hanna Gyda Thrainsdottir	F	45	00:45:00	00:09:27	02:54:31	00:09:20	01:52:51	05:51:09	2021	Ironman 70.3 Elsinore 2021
Sonja Simonardottir	F	25	00:45:20	00:07:29	03:18:50	00:04:17	02:02:13	06:18:09	2021	Ironman 70.3 Elsinore 2021
Johann Sigurjonsson	M	40	00:52:45	00:10:40	02:54:58	00:06:45	02:26:48	06:31:56	2021	Ironman 70.3 Elsinore 2021
Gudrun Jonsdottir	F	45	00:51:41	00:08:00	03:19:37	00:06:26	02:07:30	06:33:14	2021	Ironman 70.3 Elsinore 2021
Itamar Cohen	M	35	00:39:55	00:04:39	02:36:54	00:05:53	01:46:03	05:13:24	2021	Ironman 70.3 Tiberias 2021
Jorge Echevarria Martinez	M	25	00:34:19	00:05:31	03:16:29	00:02:27	01:27:36	05:26:22	2021	Ironman 70.3 Andorra 2021
Ingvar Bjarnason	M	25	00:36:12	00:07:40	02:54:42	00:09:20	02:08:32	05:56:26	2021	Ironman 70.3 Gdynia 2021
Bjarni Thorvardarson	M	55	00:43:24	00:09:16	03:37:32	00:08:39	02:22:29	07:01:20	2021	Ironman 70.3 Gdynia 2021
Johann Gunnarsson	M	35	00:56:33	00:06:42	03:12:59	00:05:26	02:01:01	06:22:40	2021	Ironman 70.3 Venice-Jesolo 2021
Anna Olafsdottir	F	30	01:01:25	00:06:41	03:20:49	00:04:05	02:13:11	06:46:10	2021	Ironman 70.3 Venice-Jesolo 2021
Herdis Gudjonsdottir	F	65	00:58:31	00:12:01	04:02:51	00:17:26	03:39:16		2022	Ironman 70.3 Italy Emilia-Romagna 2022
Telma Steingrimsdottir	F	45	00:54:54	00:10:52	03:36:17	00:11:18	03:09:58		2022	Ironman 70.3 Italy Emilia-Romagna 2022
Ásdis Ósk Valsdottir	F	50							2022	Ironman 70.3 Italy Emilia-Romagna 2022
Maria Ragnarsdottir	F	45	00:53:03	00:12:49	03:51:24	00:16:22	02:56:20		2022	Ironman 70.3 Italy Emilia-Romagna 2022
Steinthora Thorisdottir	F	50							2022	Ironman 70.3 Italy Emilia-Romagna 2022
Jonina Vilhjalmsdottir	F	55							2022	Ironman 70.3 Italy Emilia-Romagna 2022
Runar Bragason	M	50							2022	Ironman 70.3 Italy Emilia-Romagna 2022
Kristin L. Steinadottir	F	40	00:29:50	00:05:59	02:40:53	00:05:16			2022	Ironman 70.3 Italy Emilia-Romagna 2022
Gisli Ásgeirsson	M	65							2022	Ironman 70.3 Italy Emilia-Romagna 2022
Unnur Árnadottir	F	45							2022	Ironman 70.3 Italy Emilia-Romagna 2022
Finnur Bjornsson	M	18	00:31:46	00:06:34	02:37:31	00:05:36	01:30:20	04:51:47	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Ólafur Örn Ólafsson	M	50	00:28:32	00:05:37	02:32:53	00:04:27	01:40:40	04:52:09	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Mar Thorarinsson	M	50	00:33:25	00:07:48	02:28:40	00:05:51	01:39:17	04:55:01	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Helen Ólafsdottir	F	50	00:35:48	00:06:55	02:40:33	00:05:34	01:36:52	05:05:43	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Sigurjon Ólafsson	M	50	00:31:28	00:06:09	02:32:36	00:05:52	01:51:50	05:07:55	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Finnbogi Thorarinsson	M	60	00:29:36	00:06:40	02:32:17	00:05:55	01:53:55	05:08:23	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Hafthor Rafn Benediktsson	M	45	00:29:34	00:05:44	02:49:37	00:04:23	01:41:18	05:10:36	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Sindri Bergmann	M	45	00:34:39	00:07:10	02:29:34	00:05:05	01:54:39	05:11:07	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Ludvik Petursson	M	45	00:31:12	00:08:37	02:43:26	00:07:04	01:47:53	05:18:12	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Anna Cecilia Inghammar	F	45	00:33:23	00:08:51	02:46:09	00:06:01	01:45:20	05:19:44	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Ævar Svan Sigurdsson	M	45	00:34:04	00:08:49	02:33:55	00:11:22	01:52:02	05:20:12	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Saedis Jonsdottir	F	25	00:33:19	00:05:50	02:53:32	00:04:59	01:46:02	05:23:43	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Atli Knutsson	M	45	00:35:18	00:09:47	02:40:16	00:06:53	01:52:49	05:25:03	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Kjartan Kristinsson	M	40	00:31:27	00:06:57	02:38:59	00:05:06	02:03:44	05:26:14	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Sara Árnadottir	F	25	00:35:42	00:09:12	02:48:07	00:06:23	01:50:19	05:29:43	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Aron Freyr Kristjansson	M	25	00:35:55	00:09:21	02:49:21	00:05:43	01:50:07	05:30:28	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Arnor Ásgeirsson	M	30	00:32:03	00:10:19	02:48:17	00:08:27	01:54:28	05:33:34	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Hlin Magnusdottir	F	50	00:37:28	00:08:40	02:49:33	00:05:36	01:58:01	05:39:18	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Hafdis Helgadottir	F	45	00:34:36	00:09:53	02:54:46	00:06:44	01:55:26	05:41:25	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Gestur Hreinsson	M	55	00:34:39	00:11:30	02:55:44	00:06:54	01:54:42	05:43:29	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Sigrun Sveinbjornsdottir	F	45	00:39:50	00:09:18	02:50:46	00:06:47	01:58:05	05:44:46	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Thorsteinn Agustsson	M	45	00:34:50	00:08:43	02:54:08	00:06:05	02:02:03	05:45:49	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Runa Rut Ragnarsdottir	F	45	00:34:07	00:08:02	03:03:11	00:06:38	01:54:18	05:46:17	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Inga Dagmar Karlsdottir	F	50	00:37:00	00:08:29	02:37:06	00:07:21	02:17:25	05:47:21	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Ingibjorg Palmadottir	F	45	00:34:27	00:08:43	02:55:39	00:06:44	02:04:40	05:50:13	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Leifur Halldorsson	M	55	00:31:01	00:08:29	02:42:42	00:09:05	02:19:05	05:50:22	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Sonja Simonardottir	F	25	00:34:09	00:11:06	02:56:22	00:06:09	02:04:13	05:51:58	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Viktor Ásbjornsson	M	18	00:39:53	00:07:41	02:55:22	00:05:04	02:05:18	05:53:17	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Brynja Sigurpalsdottir	F	25	00:33:08	00:08:22	03:00:19	00:09:49	02:04:24	05:56:02	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Pall Ólason	M	45	00:37:29	00:11:27	02:57:24	00:12:32	02:09:01	06:07:53	2022	Ironman 70.3 Italy Emilia-Romagna 2022
David Gislason	M	25	00:34:29	00:08:05	02:50:38	00:06:23	02:31:35	06:11:11	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Markus Sveinn Markusson	M	65	00:43:44	00:12:37	03:00:46	00:09:00	02:06:23	06:12:30	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Anna Kristin Sigursteinsdottir	F	40	00:32:14	00:11:58	02:58:07	00:09:14	02:24:43	06:16:17	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Elin Palsdottir	F	40	00:29:22	00:08:57	03:10:58	00:08:31	02:22:11	06:19:59	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Bjarni Thorvardarson	M	55	00:37:04	00:10:39	03:03:54	00:07:51	02:22:36	06:22:04	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Sigurros Hallgrimsdottir	F	45	00:40:03	00:11:07	02:54:30	00:11:08	02:26:29	06:23:17	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Helga Johanna Oddsdottir	F	45	00:35:40	00:11:52	02:58:46	00:10:20	02:28:38	06:25:15	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Hilmar Petursson	M	45	00:37:33	00:10:12	02:49:31	00:09:24	02:41:48	06:28:28	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Inga Ingadottir	F	35	00:37:10	00:09:44	03:21:15	00:12:16	02:08:33	06:28:59	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Sigridue Erlendsdottir	F	40	00:44:05	00:10:08	03:04:07	00:07:46	02:23:12	06:29:17	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Ómar Valdimarsson	M	50	00:38:15	00:12:35	02:56:29	00:12:09	02:30:53	06:30:21	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Gudrun Jonsdottir	F	45	00:48:14	00:07:38	03:23:33	00:08:15	02:03:03	06:30:44	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Hrefna Gudmundsdottir	F	60	00:35:32	00:10:35	03:12:16	00:08:12	02:24:17	06:30:51	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Juliana Halfdanardottir	F	30	00:31:08	00:13:07	03:06:29	00:07:49	02:33:12	06:31:45	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Kristrun Dadadottir	F	50	00:49:52			00:10:04	02:32:31	06:39:59	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Elsa Maria Davisdottir	F	50	00:42:50	00:12:05	03:04:38	00:09:27	02:32:31	06:41:32	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Ragnar Saevarsson	M	45	00:37:55	00:10:19	03:12:25	00:11:59	02:29:47	06:42:26	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Ragnheidur Gisladottir	F	45	00:37:15	00:09:36	03:05:35	00:07:51	02:43:57	06:44:14	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Arna Torfadottir	F	40	00:41:36	00:07:20	03:39:29	00:06:57	02:09:01	06:44:23	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Sesselia Birgisdottir	F	45	00:38:01	00:10:19	03:12:22	00:12:02	02:32:55	06:45:38	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Silja Ulfarsdottir	F	40	00:43:57	00:09:33	03:10:35	00:10:31	02:38:02	06:52:38	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Sandra Sigurdardottir	F	40	00:36:08	00:10:59	03:17:00	00:09:59	02:39:09	06:53:14	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Ester Gunnsteinsdottir	F	50	00:38:49	00:11:13	03:13:56	00:10:54	02:54:49	07:09:41	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Unnur Palsdottir	F	50	00:50:53	00:12:14	03:13:59	00:11:18	02:43:28	07:11:51	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Helga Jonsdottir	F	30	00:42:23	00:11:29	03:31:32	00:16:11	02:32:49	07:14:23	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Isak Andri Hjaltason	M	25	00:35:16	00:18:40	03:26:27	00:21:20	02:32:50	07:14:33	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Ragnheidur Hjaltalin	F	50	00:43:59	00:14:22	03:23:32	00:13:12	02:41:31	07:16:35	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Ólafur Thorarensen	M	60	00:38:15	00:13:44	03:31:38	00:11:15	02:47:36	07:22:28	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Gudrun Stefansdottir	F	45	00:39:32	00:10:46	03:14:23	00:09:06	03:09:42	07:23:29	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Ragnheidur Sverrisdottir	F	55	00:41:11	00:13:09	03:28:54	00:12:08	02:48:46	07:24:08	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Elin Halldorsdottir	F	45	00:53:03	00:12:32	03:23:44	00:09:30	02:48:55	07:27:44	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Margret Gudmundsdottir	F	50	00:52:50	00:11:34	03:52:56	00:16:07	02:22:45	07:36:12	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Sirry Hallgrimsdottir	F	50	00:41:11	00:11:26	03:49:42	00:11:09	02:47:16	07:40:45	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Hulda Gudmundsdottir	F	45	00:43:17	00:10:28	03:48:40	00:11:08	02:47:16	07:40:48	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Rebekka Stefansdottir	F	50	00:55:45	00:12:26	03:50:08	00:10:48	02:41:41	07:50:48	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Arna Hansen	F	50	00:53:13	00:15:11	03:50:07	00:10:51	02:41:43	07:51:05	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Ran Thorisdottir	F	25	00:36:14	00:14:22	03:52:05	00:18:35	02:50:30	07:51:46	2022	Ironman 70.3 Italy Emilia-Romagna 2022
Elva Bjork Sveinsdottir	F	45							2022	Ironman 70.3 Jönköping 2022
Pall Olafsson	M	40	00:34:44	00:05:42	02:25:45	00:02:25	01:36:44	04:45:20	2022	Ironman 70.3 Jönköping 2022
Gudlaugur Egilsson	M	50	00:44:13	00:08:29	02:33:50	00:02:54	01:50:33	05:19:58	2022	Ironman 70.3 Jönköping 2022
Sveinn Simonarson	M	60	00:34:33	00:06:43	02:42:04	00:02:10	02:08:11	05:33:42	2022	Ironman 70.3 Jönköping 2022
Petur Mar Omarsson	M	45	00:36:33	00:07:54	02:45:56	00:02:56	02:03:52	05:37:11	2022	Ironman 70.3 Jönköping 2022
Margret Palsdottir	F	40	00:47:36	00:08:11	02:50:27	00:03:13	01:58:24	05:47:51	2022	Ironman 70.3 Jönköping 2022
Sigmar Örn Sigthorsson	M	45	00:46:40	00:07:03	02:44:19	00:03:46	02:10:51	05:52:39	2022	Ironman 70.3 Jönköping 2022
Pall Geir Bjarnason	M	50	00:45:47	00:10:48	02:51:11	00:03:55	02:09:27	06:01:08	2022	Ironman 70.3 Jönköping 2022
Heida Osk Gudmundsdottir	F	25	00:44:16	00:08:05	02:57:22	00:04:11	02:27:05	06:21:00	2022	Ironman 70.3 Jönköping 2022
Ofeigur Hreinsson	M	50	00:55:50	00:09:40	03:24:22	00:06:01	02:36:50	07:12:43	2022	Ironman 70.3 Jönköping 2022
Þorhildur Ósk Halldorsdottir	F	45	00:57:05	00:13:11	03:44:49	00:06:35	02:30:01	07:31:42	2022	Ironman 70.3 Jönköping 2022
Lilja Dogg Gylfadottir	F	45	00:51:12	00:11:23	03:54:19	00:04:34	03:05:21	08:06:50	2022	Ironman 70.3 Jönköping 2022
Thorunn Margret Gunnarsdottir	F	50							2022	Ironman 70.3 Elsinore 2022
Margret Águstsdottir	F	65	00:50:56	00:13:35	04:12:48	00:09:30			2022	Ironman 70.3 Elsinore 2022
Frida Olafsdottir	F	50	00:52:47	00:09:53	04:10:53	00:10:44			2022	Ironman 70.3 Elsinore 2022
Rikhardur Óli Cuellar	M	40	00:31:52	00:04:27	02:36:43	00:03:40	01:38:44	04:55:26	2022	Ironman 70.3 Elsinore 2022
Sigurjon Bjornsson	M	40	00:33:29	00:05:47	02:34:28	00:03:25	02:00:29	05:17:38	2022	Ironman 70.3 Elsinore 2022
Ólafur Örn Ólafsson	M	50	00:31:53	00:04:09	02:45:37	00:03:14	01:55:46	05:20:39	2022	Ironman 70.3 Elsinore 2022
Ingvi Einarsson	M	45	00:34:09	00:06:48	02:38:08	00:06:31	01:58:51	05:24:26	2022	Ironman 70.3 Elsinore 2022
Saedis Jonsdottir	F	25	00:33:57	00:04:21	02:48:43	00:03:23	02:06:14	05:36:39	2022	Ironman 70.3 Elsinore 2022
Helga Gunnarsdottir	F	40	00:39:44	00:05:28	02:52:10	00:04:27	02:07:48	05:49:37	2022	Ironman 70.3 Elsinore 2022
Finnbogi Thorarinsson	M	60	00:33:51	00:05:04	02:47:51	00:04:05	02:21:32	05:52:23	2022	Ironman 70.3 Elsinore 2022
Anna Kolbra Fridriksdottir	F	25	00:36:37	00:06:28	03:01:31	00:05:13	02:04:35	05:54:24	2022	Ironman 70.3 Elsinore 2022
Leifur Halldorsson	M	55	00:34:42	00:06:16	02:47:47	00:04:43	02:24:45	05:58:14	2022	Ironman 70.3 Elsinore 2022
Gardar Gislason	M	60	00:39:37	00:09:24	02:53:43	00:07:07	02:13:03	06:02:54	2022	Ironman 70.3 Elsinore 2022
Fridrik Gudmundsson	M	55	00:41:28	00:05:44	02:58:49	00:04:43	02:12:47	06:03:31	2022	Ironman 70.3 Elsinore 2022
Grimur Sigurdsson	M	45	00:49:42	00:09:12	02:48:08	00:07:11	02:10:15	06:04:28	2022	Ironman 70.3 Elsinore 2022
Inga Dagmar Karlsdottir	F	50	00:46:01	00:06:30	02:50:36	00:05:41	02:22:42	06:11:30	2022	Ironman 70.3 Elsinore 2022
